# Add translations for curated AOI names. Only EEZ and IHO rows are included; USER and MPA names are intentionally excluded.
# All seeded locale cells are filled for curated rows; the migration still skips any future intentionally blank cell.
# locale: {"code":"en","english_name":"English","native_name":"English","text_direction":"ltr","fallback_code":null,"is_default":true,"is_active":true,"notes":"Canonical source language stored in base vocabulary tables."}
# locale: {"code":"es","english_name":"Spanish","native_name":"Español","text_direction":"ltr","fallback_code":"en","is_default":false,"is_active":true,"notes":"Initial Cerulean translation roster."}
# locale: {"code":"fr","english_name":"French","native_name":"Français","text_direction":"ltr","fallback_code":"en","is_default":false,"is_active":true,"notes":"Initial Cerulean translation roster."}
# locale: {"code":"pt","english_name":"Portuguese","native_name":"Português","text_direction":"ltr","fallback_code":"en","is_default":false,"is_active":true,"notes":"Initial Cerulean translation roster."}
# locale: {"code":"pt-br","english_name":"Brazilian Portuguese","native_name":"Português (Brasil)","text_direction":"ltr","fallback_code":"pt","is_default":false,"is_active":true,"notes":"Brazilian Portuguese locale seeded alongside generic Portuguese."}
# locale: {"code":"id","english_name":"Indonesian","native_name":"Bahasa Indonesia","text_direction":"ltr","fallback_code":"en","is_default":false,"is_active":true,"notes":"Requested as Bahasa; stored as locale code id."}
# locale: {"code":"sw","english_name":"Swahili","native_name":"Kiswahili","text_direction":"ltr","fallback_code":"en","is_default":false,"is_active":true,"notes":"Initial Cerulean translation roster."}
"source_locale","aoi_type_short_name","mrgid","source_name","source_checksum","es","fr","pt","pt-br","id","sw"
"en","EEZ","5670","Albanian Exclusive Economic Zone","d2aa04122d93748e171795a038487e35","Zona Económica Exclusiva de Albania","Zone économique exclusive d'Albanie","Zona Económica Exclusiva de Albânia","Zona Econômica Exclusiva de Albânia","Zona Ekonomi Eksklusif Albania","Eneo la Kiuchumi la Kipekee la Albania"
"en","EEZ","8378","Algerian Exclusive Economic Zone","a91d6f41f2e6076d5204fabd17db26d0","Zona Económica Exclusiva de Argelia","Zone économique exclusive d'Algérie","Zona Económica Exclusiva de Argélia","Zona Econômica Exclusiva de Argélia","Zona Ekonomi Eksklusif Aljazair","Eneo la Kiuchumi la Kipekee la Algeria"
"en","EEZ","8444","American Samoa Exclusive Economic Zone","7e1a1f9a216e7a79293a51d1626ee9aa","Zona Económica Exclusiva de Samoa Americana","Zone économique exclusive de Samoa américaines","Zona Económica Exclusiva de Samoa Americana","Zona Econômica Exclusiva de Samoa Americana","Zona Ekonomi Eksklusif Samoa Amerika","Eneo la Kiuchumi la Kipekee la Samoa ya Marekani"
"en","EEZ","8386","Amsterdam Island & St. Paul Island Exclusive Economic Zone","4c85127370564911030cc654382b7b37","Zona Económica Exclusiva de las islas Ámsterdam y San Pablo","Zone économique exclusive des îles Amsterdam et Saint-Paul","Zona Económica Exclusiva das ilhas Amsterdam e São Paulo","Zona Econômica Exclusiva das ilhas Amsterdam e São Paulo","Zona Ekonomi Eksklusif Pulau Amsterdam dan Saint-Paul","Eneo la Kiuchumi la Kipekee la Visiwa vya Amsterdam na Saint-Paul"
"en","EEZ","8478","Angolan Exclusive Economic Zone","176ad81422bcb9aa309fa8ced2c9305b","Zona Económica Exclusiva de Angola","Zone économique exclusive d'Angola","Zona Económica Exclusiva de Angola","Zona Econômica Exclusiva de Angola","Zona Ekonomi Eksklusif Angola","Eneo la Kiuchumi la Kipekee la Angola"
"en","EEZ","8412","Anguilla Exclusive Economic Zone","6b59f9d8fae0df92086a2e5a54b41a9a","Zona Económica Exclusiva de Anguila","Zone économique exclusive d'Anguilla","Zona Económica Exclusiva de Anguila","Zona Econômica Exclusiva de Anguila","Zona Ekonomi Eksklusif Anguilla","Eneo la Kiuchumi la Kipekee la Anguilla"
"en","EEZ","8489","Antarctic 200NM zone beyond the coastline","0d5df6e91e9a40fca7196d448fb78202","Zona antártica de 200 millas náuticas más allá de la línea de costa","Zone antarctique de 200 milles nautiques au-delà du littoral","Zona antártica de 200 milhas náuticas além da linha de costa","Zona antártica de 200 milhas náuticas além da linha de costa","Zona Antarktika 200 mil laut di luar garis pantai","Eneo la Antaktiki la maili 200 za baharini nje ya ukanda wa pwani"
"en","EEZ","8414","Antigua and Barbuda Exclusive Economic Zone","0b9f9c9bdcaffb2ee3f60e158190f722","Zona Económica Exclusiva de Antigua y Barbuda","Zone économique exclusive d'Antigua-et-Barbuda","Zona Económica Exclusiva de Antígua e Barbuda","Zona Econômica Exclusiva de Antígua e Barbuda","Zona Ekonomi Eksklusif Antigua dan Barbuda","Eneo la Kiuchumi la Kipekee la Antigua na Barbuda"
"en","EEZ","8466","Argentinean Exclusive Economic Zone","db8697ed0bb06b9ca3336bd78f2a1491","Zona Económica Exclusiva de Argentina","Zone économique exclusive d'Argentine","Zona Económica Exclusiva de Argentina","Zona Econômica Exclusiva de Argentina","Zona Ekonomi Eksklusif Argentina","Eneo la Kiuchumi la Kipekee la Argentina"
"en","EEZ","26519","Aruban Exclusive Economic Zone","3cf79f5818896971302a3d7128ee23b7","Zona Económica Exclusiva de Aruba","Zone économique exclusive d'Aruba","Zona Económica Exclusiva de Aruba","Zona Econômica Exclusiva de Aruba","Zona Ekonomi Eksklusif Aruba","Eneo la Kiuchumi la Kipekee la Aruba"
"en","EEZ","8379","Ascension Exclusive Economic Zone","a03e62abda659018f4cf162df5e5d937","Zona Económica Exclusiva de Ascensión","Zone économique exclusive d'Ascension","Zona Económica Exclusiva de Ascensão","Zona Econômica Exclusiva de Ascensão","Zona Ekonomi Eksklusif Ascension","Eneo la Kiuchumi la Kipekee la Ascension"
"en","EEZ","8323","Australian Exclusive Economic Zone","ac8dd158b5f335ec1a056e261d19dd55","Zona Económica Exclusiva de Australia","Zone économique exclusive d'Australie","Zona Económica Exclusiva de Austrália","Zona Econômica Exclusiva de Austrália","Zona Ekonomi Eksklusif Australia","Eneo la Kiuchumi la Kipekee la Australia"
